GEO,UNIT,SECTOR,NA_ITEM\TIME	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Spain,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
France,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Italy,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Cyprus,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Luxembourg,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Malta,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Netherlands,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Austria,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Portugal,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovakia,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Million euro,Total economy,Net lending (+) /net borrowing (-)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
France,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Italy,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Cyprus,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Luxembourg,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Malta,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Netherlands,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Austria,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Portugal,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovakia,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Million euro,Total economy,Interest, payable	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
France,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Italy,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Cyprus,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Luxembourg,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Malta,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Netherlands,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Austria,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Portugal,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovakia,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Million euro,Total economy,Government consolidated gross debt	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
France,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Italy,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Cyprus,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Luxembourg,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Malta,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Netherlands,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Austria,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Portugal,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovakia,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Million euro,Total economy,Intergovernmental lending within EA17 (2011-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
France,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Italy,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Cyprus,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Luxembourg,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Malta,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Netherlands,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Austria,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Portugal,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovakia,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Million euro,Total economy,Intergovernmental lending within EA18 (2014)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
France,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Italy,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Cyprus,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Luxembourg,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Malta,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Netherlands,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Austria,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Portugal,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovakia,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Million euro,Total economy,Intergovernmental lending within EA19 (from 2015)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
France,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Italy,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Cyprus,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Luxembourg,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Malta,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Netherlands,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Austria,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Portugal,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovakia,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Million euro,Total economy,Intergovernmental lending within EU25 (2004-2006)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
France,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Italy,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Cyprus,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Luxembourg,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Malta,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Netherlands,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Austria,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Portugal,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovenia,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Slovakia,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Finland,Million euro,Total economy,Intergovernmental lending within EU27 (2007-2013)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Belgium,Million euro,Total economy,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Germany (until 1990 former territory of the FRG),Million euro,Total economy,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Ireland,Million euro,Total economy,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Greece,Million euro,Total economy,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
Spain,Million euro,Total economy,Intergovernmental lending within EU28 (2013-2020)	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:	:
